,entry,label
10,"“dense,” sensing to what a degree a stone is foreign and irreducible to us, with what intensity nature or a landscape can negate us. At the heart of all beauty lies something inhuman, and these hills, the softness of the sky, the outline of these trees at this very minute lose the illusory meaning with which we had clothed them, henceforth more remote than a lost paradise. The primitive hostility of the world rises up to face us across millennia, for a second we cease to understand it because for centuries we have understood in it solely the images and designs that we had at¬ tributed to it beforehand, because henceforth we lack the power to make use of that artifice. The world evades us because it becomes itself again. That stage scenery masked by habit becomes again what it is. It withdraws at a distance from us. Just as there are days when under the familial face of a woman, we see as a stranger her we had loved months or years ago, perhaps we shall come even to desire what suddenly leaves us so alone. But the time has not yet come. Just one thing: that denseness and that strangeness of the world is the absurd. Men, too, secrete the inhuman. At certain moments of lucidity, the mechanical aspect of their gestures, their meaningless pantomime makes silly everything that surrounds them. A man is talking on the telephone behind a glass partition; you cannot hear him, but you see his incomprehensible dumb show: you wonder why he is alive. This discomfort in the face of man’s own inhumanity, this incalculable tumble before the image of what we are, this “nausea,” as a writer of today calls it, is also the absurd. Likewise the stranger who at certain seconds",absurdism
11,"comes to meet us in a mirror, the familiar and yet alarming brother we encounter in our own photographs is also the absurd. I come at last to death and to the attitude we have toward it. On this point everything has been said and it is only proper to avoid pathos. Yet one will never be sufficiently surprised that everyone lives as if no one “knew.” This is because in reality there is no experience of death. Properly speaking, nothing has been experienced but what has been lived and made conscious. Here, it is barely possible to speak of the experience of others’ deaths. It is a substitute, an illusion, and it never quite convinces us. That melancholy convention cannot be persuasive. The horror comes in reality from the mathematical aspect of the event. If time frightens us, this is because it works out the problem and the solution comes afterward. All the pretty speeches about the soul will have their contrary convincingly proved, at least for a time. From this inert body on which a slap makes no mark the soul has disappeared. This elementary and definitive aspect of the adventure constitutes the absurd feeling. Under the fatal lighting of that destiny, its uselessness becomes evident. No code of ethics and no effort are justifiable a priori in the face of the cruel mathematics that command our condition. Let me repeat: all this has been said over and over. I am limiting myself here to making a rapid classification and to pointing out these obvious themes. They run through all literatures and all philosophies. Everyday conversation feeds on them. There is no question of reinventing them. But it is essential to be sure of these facts in order to be able to question oneself subsequently on the primordial",absurdism
12,"question. I am interested let me repeat again—not go much in absurd discoveries as in their consequences. If one is assured of these facts, what is one to conclude, how far is one to go to elude nothing? Is one to die voluntarily or to hope in spite of everything? Beforehand, it is necessary to take the same rapid inventory on the plane of the intelligence. The mind’s first step is to distinguish what is true from what is false. However, as soon as thought reflects on itself, what it first discovers is a contradiction. Useless to strive to be convincing in this case. Over the centuries no one has furnished a clearer and more elegant demonstration of the business than Aristotle: “The often ridiculed consequence of these opinions is that they destroy themselves. For by asserting that all is true we assert the truth of the contrary assertion and consequently the falsity of our own thesis (for the contrary assertion does not admit that it can be true). And if one says that all is false, that assertion is itself false. If we declare that solely the assertion opposed to ours is false or else that solely ours is not false, we are nevertheless forced to admit an infinite number of true or false judgments. For the one who expresses a true assertion proclaims simultaneously that it is true, and so on ad infinitum. ” This vicious circle is but the first of a series in which the mind that studies itself gets lost in a giddy whirling. The very simplicity of these paradoxes makes them irreducible. Whatever may be the plays on words and the acrobatics of logic, to understand is, above all, to unify. The mind’s deepest desire, even in its most elaborate operations, parallels man’s unconscious",absurdism
13,"feeling in the face of his universe: it is an insistence upon familiarity, an appetite for clarity. Understanding the world for a man is reducing it to the human, stamping it with his seal. The cat’s universe is not the universe of the anthill. The truism “All thought is anthropomorphic” has no other meaning. Likewise, the mind that aims to understand reality can consider itself satisfied only by reducing it to terms of thought. If man realized that the universe like him can love and suffer, he would be reconciled. If thought discovered in the shimmering mirrors of phenomena eternal relations capable of summing them up and summing themselves up in a single principle, then would be seen an intellectual joy of which the myth of the blessed would be but a ridiculous imitation. That nostalgia for unity, that appetite for the absolute illustrates the essential impulse of the human drama. But the fact of that nostalgia’s existence does not imply that it is to be immediately satisfied. For if, bridging the gulf that separates desire from conquest, we assert with Parmenides the reality of the One (whatever it may be), we fall into the ridiculous contradiction of a mind that asserts total unity and proves by its very assertion its own difference and the diversity it claimed to resolve. This other vicious circle is enough to stifle our hopes. These are again truisms. I shall again repeat that they are not interesting in themselves but in the consequences that can be deduced from them. I know another truism: it tells me that man is mortal. One can nevertheless count the minds that have deduced the extreme conclusions from it. It is essential to consider as a constant point of reference in this essay the regular hiatus between what we",absurdism
14,"fancy we know and what we really know, practical assent and simulated ignorance which allows us to live with ideas which, if we truly put them to the test, ought to upset our whole life. Faced with this inextricable contradiction of the mind, we shall fully grasp the divorce separating us from our own creations. So long as the mind keeps silent in the motionless world of its hopes, everything is reflected and arranged in the unity of its nostalgia. But with its first move this world cracks and tumbles: an infinite number of shimmering fragments is offered to the understanding. We must despair of ever reconstructing the familiar, calm surface which would give us peace of heart. After so many centuries of inquiries, so many abdications among thinkers, we are well aware that this is true for all our knowledge. With the exception of professional rationalists, today people despair of true knowledge. If the only significant history of human thought were to be written, it would have to be the history of its successive regrets and its impotences. Of whom and of what indeed can I say: “I know that!” This heart within me I can feel, and I judge that it exists. This world I can touch, and I likewise judge that it exists. There ends all my knowledge, and the rest is construction. For if I try to seize this self of which I feel sure, if I try to define and to summarize it, it is nothing but water slipping through my fingers. I can sketch one by one all the aspects it is able to assume, all those likewise that have been attributed to it, this upbringing, this origin, this ardor or these silences, this nobility or this vileness. But aspects cannot be added up.",absurdism
15,"This very heart which is mine will forever remain indefinable to me. Between the certainty I have of my existence and the content I try to give to that assurance, the gap will never be filled. Forever I shall be a stranger to myself. In psychology as in logic, there are truths but no truth. Socrates’”Know thyself’ has as much value as the “Be virtuous” of our confessionals. They reveal a nostalgia at the same time as an ignorance. They are sterile exercises on great subjects. They are legitimate only in precisely so far as they are approximate. And here are trees and I know their gnarled surface, water and I feel its taste. These scents of grass and stars at night, certain evenings when the heart relaxes—how shall I negate this world whose power and strength I feel? Yet all the knowledge on earth will give me nothing to assure me that this world is mine. You describe it to me and you teach me to classify it. You enumerate its laws and in my thirst for knowledge I admit that they are true. You take apart its mechanism and my hope increases. At the final stage you teach me that this wondrous and multicolored universe can be reduced to the atom and that the atom itself can be reduced to the electron. All this is good and I wait for you to continue. But you tell me of an invisible planetary system in which electrons gravitate around a nucleus. You explain this world to me with an image. I realize then that you have been reduced to poetry: I shall never know. Have I the time to become indignant? You have already changed theories. So that science that was to teach me everything ends up in a hypothesis,",absurdism
16,"that lucidity founders in metaphor, that uncertainty is resolved in a work of art. What need had I of so many efforts? The soft lines of these hills and the hand of evening on this troubled heart teach me much more. I have returned to my beginning. I realize that if through science I can seize phenomena and enumerate them, I cannot, for all that, apprehend the world. Were I to trace its entire relief with my finger, I should not know any more. And you give me the choice between a description that is sure but that teaches me nothing and hypotheses that claim to teach me but that are not sure. A stranger to myself and to the world, armed solely with a thought that negates itself as soon as it asserts, what is this condition in which I can have peace only by refusing to know and to live, in which the appetite for conquest bumps into walls that defy its assaults? To will is to stir up paradoxes. Everything is ordered in such a way as to bring into being that poisoned peace produced by thoughtlessness, lack of heart, or fatal renunciations. Hence the intelligence, too, tells me in its way that this world is absurd. Its contrary, blind reason, may well claim that all is clear; I was waiting for proof and longing for it to be right. But despite so many pretentious centuries and over the heads of so many eloquent and persuasive men, I know that is false. On this plane, at least, there is no happiness if I cannot know. That universal reason, practical or ethical, that determinism, those categories that explain everything are enough to make a decent man laugh. They have nothing to do with the mind. They negate its",absurdism
17,"profound truth, which is to be enchained. In this unintelligible and limited universe, man’s fate henceforth assumes its meaning. A horde of irrationals has sprung up and surrounds him until his ultimate end. In his recovered and now studied lucidity, the feeling of the absurd becomes clear and definite. I said that the world is absurd, but I was too hasty. This world in itself is not reasonable, that is all that can be said. But what is absurd is the confrontation of this irrational and the wild longing for clarity whose call echoes in the human heart. The absurd depends as much on man as on the world. For the moment it is all that links them together. It binds them one to the other as only hatred can weld two creatures together. This is all I can discern clearly in this measureless universe where my adventure takes place. Let us pause here. If I hold to be true that absurdity that determines my relationship with life, if I become thoroughly imbued with that sentiment that seizes me in face of the world’s scenes, with that lucidity imposed on me by the pursuit of a science, I must sacrifice everything to these certainties and I must see them squarely to be able to maintain them. Above all, I must adapt my behavior to them and pursue them in all their consequences. I am speaking here of decency. But I want to know beforehand if thought can live in those deserts. * * * I already know that thought has at least entered those deserts. There it found its bread. There it realized that it had previously been feeding on phantoms. It justified some of the most urgent themes of human reflection. From the moment absurdity is recognized, it becomes",absurdism
18,"a passion, the most harrowing of all. But whether or not one can live with one’s passions, whether or not one can accept their law, which is to bum the heart they simultaneously exalt—that is the whole question. It is not, however, the one we shall ask just yet. It stands at the center of this experience. There will be time to come back to it. Let us recognize rather those themes and those impulses bom of the desert. It will suffice to enumerate them. They, too, are kn own to all today. There have always been men to defend the rights of the irrational. The tradition of what may be called humiliated thought has never ceased to exist. The criticism of rationalism has been made so often that it seems unnecessary to begin again. Yet our epoch is marked by the rebirth of those paradoxical systems that strive to trip up the reason as if truly it had always forged ahead. But that is not so much a proof of the efficacy of the reason as of the intensity of its hopes. On the plane of history, such a constancy of two attitudes illustrates the essential passion of man tom between his urge toward unity and the clear vision he may have of the walls enclosing him. But never perhaps at any time has the attack on reason been more violent than in ours. Since Zarathustra’s great outburst: “By chance it is the oldest nobility in the world. I conferred it upon all things when I proclaimed that above them no eternal will was exercised,” since Kierkegaard’s fatal illness, “that malady that leads to death with nothing else following it,” the significant and tormenting themes of absurd thought have followed one another. Or at least, and this proviso is",absurdism
19,"of capital importance, the themes of irrational and religious thought. From Jaspers to Heidegger, from Kierkegaard to Che-stov, from the phenomenologists to Scheler, on the logical plane and on the moral plane, a whole family of minds related by their nostalgia but opposed by their methods or their aims, have persisted in blocking the royal road of reason and in recovering the direct paths of truth. Here I assume these thoughts to be known and lived. Whatever may be or have been their ambitions, all started out from that indescribable universe where contradiction, antinomy, anguish, or impotence reigns. And what they have in common is precisely the themes so far disclosed. For them, too, it must be said that what matters above all is the conclusions they have managed to draw from those discoveries. That matters so much that they must be examined separately. But for the moment we are concerned solely with their discoveries and their initial experiments. We are concerned solely with noting their agreement. If it would be presumptuous to try to deal with their philosophies, it is possible and sufficient in any case to bring out the climate that is common to them. Heidegger considers the human condition coldly and announces that that existence is humiliated. The only reality is “anxiety” in the whole chain of beings. To the man lost in the world and its diversions this anxiety is a brief, fleeting fear. But if that fear becomes conscious of itself, it becomes anguish, the perpetual climate of the lucid man “in whom existence is concentrated.” This professor of philosophy writes without trembling and in the most abstract language in the world that “the finite and limited character of human existence is more primordial than man himself.” His interest in Kant extends only to recognizing",absurdism
20,"the restricted character of his “pure Reason.” This is to coincide at the end of his analyses that “the world can no longer offer anything to the man filled with anguish.” This anxiety seems to him so much more important than all the categories in the world that he thinks and talks only of it. He enumerates its aspects: boredom when the ordinary man strives to quash it in him and benumb it; terror when the mind contemplates death. He too does not separate consciousness from the absurd. The consciousness of death is the call of anxiety and “existence then delivers itself its own summons through the intermediary of consciousness.” It is the very voice of anguish and it adjures existence “to return from its loss in the anonymous They.” For him, too, one must not sleep, but must keep alert until the consummation. He stands in this absurd world and points out its ephemeral character. He seeks his way amid these ruins. Jaspers despairs of any ontology because he claims that we have lost “naivete.” He knows that we can achieve nothing that will transcend the fatal game of appearances. He knows that the end of the mind is failure. He tarries over the spiritual adventures revealed by history and pitilessly discloses the flaw in each system, the illusion that saved everything, the preaching that hid nothing. In this ravaged world in which the impossibility of knowledge is established, in which everlasting nothingness seems the only reality and irremediable despair seems the only attitude, he tries to recover the Ariadne’s thread that leads to divine secrets. Chestov, for his part, throughout a wonderfully monotonous work, constantly straining toward the same truths, tirelessly demonstrates that the tightest system, the most universal rationalism always stumbles eventually on the irrational of human",absurdism
21,"thought. None of the ironic facts or ridiculous contradictions that depreciate the reason escapes him. One thing only interests him, and that is the exception, whether in the domain of the heart or of the mind. Through the Dostoevskian experiences of the condemned man, the exacerbated adventures of the Nietzschean mind, Hamlet’s imprecations, or the bitter aristocracy of an Ibsen, he tracks down, il-luminates, and magnifies the human revolt against the irremediable. He refuses the reason its reasons and begins to advance with some decision only in the middle of that colorless desert where all certainties have become stones. Of all perhaps the most engaging, Kierkegaard, for a part of his existence at least, does more than discover the absurd, he lives it. The man who writes: “The surest of stubborn silences is not to hold one’s tongue but to talk” makes sure in the beginning that no truth is absolute or can render satisfactory an existence that is impossible in itself. Don Juan of the understanding, he multiplies pseudonyms and contradictions, writes his Discourses of Edification at the same time as that manual of cynical spiritualism, The Diary of the Seducer. He refuses consolations, ethics, reliable principles. As for that thorn he feels in his heart, he is careful not to quiet its pain. On the contrary, he awakens it and, in the desperate joy of a man crucified and happy to be so, he builds up piece by piece—lucidity, refusal, make believe—a category of the man possessed. That face both tender and sneering, those pirouettes followed by a cry from the heart are the absurd spirit itself grappling with a reality beyond its comprehension. And the spiritual adventure that leads Kierkegaard to his beloved scandals begins likewise in the chaos of an experience divested of its setting and",absurdism
22,"relegated to its original incoherence. On quite a different plane, that of method, Husserl and the phenomenologists, by their very extravagances, reinstate the world in its diversity and deny the transcendent power of the reason. The spiritual universe becomes incalculably enriched through them. The rose petal, the milestone, or the human hand are as important as love, desire, or the laws of gravity. Thinking ceases to be unifying or making a semblance familiar in the guise of a major principle. Thinking is learning all over again to see, to be attentive, to focus consciousness; it is turning every idea and every image, in the manner of Proust, into a privileged moment. What justifies thought is its extreme consciousness. Though more positive than Kierkegaard’s or Chestov’s, Husserl’s manner of proceeding, in the beginning, nevertheless negates the classic method of the reason, disappoints hope, opens to intuition and to the heart a whole proliferation of phenomena, the wealth of which has about it something inhuman. These paths lead to all sciences or to none. This amounts to saying that in this case the means are more important than the end. All that is involved is “an attitude for understanding” and not a consolation. Let me repeat: in the beginning, at very least. How can one fail to feel the basic relationship of these minds! How can one fail to see that they take their stand around a privileged and bitter moment in which hope has no further place? I want everything to be explained to me or nothing. And the reason is impotent when it hears this cry from the heart. The mind aroused by this insistence seeks and finds nothing but contradictions and nonsense. What I fail to understand is nonsense. The world is peopled with such irrationals. The world itself,",absurdism
23,"whose single meaning I do not understand, is but a vast irrational. If one could only say just once: “This is clear,” all would be saved. But these men vie with one another in proclaiming that nothing is clear, all is chaos, that all man has is his lucidity and his definite knowledge of the walls surrounding him. All these experiences agree and confirm one another. The mind, when it reaches its limits, must make a judgment and choose its conclusions. This is where suicide and the reply stand. But I wish to reverse the order of the inquiry and start out from the intelligent adventure and come back to daily acts. The experiences called to mind here were born in the desert that we must not leave behind. At least it is essential to know how far they went. At this point of his effort man stands face to face with the irrational. He feels within him his longing for happiness and for reason. The absurd is born of this confrontation between the human need and the unreasonable silence of the world. This must not be forgotten. This must be clung to because the whole consequence of a life can depend on it. The irrational, the human nostalgia, and the absurd that is bom of their encounter—these are the three characters in the drama that must necessarily end with all the logic of which an existence is capable. Philosophical Suicide The feeling of the absurd is not, for all that, the notion of the absurd. It lays the foundations for it, and that is all. It is not limited to that notion, except in the brief moment when it passes judgment on the universe. Subsequently it has a chance of going further. It is alive; in other words, it",absurdism
24,"must die or else reverberate. So it is with the themes we have gathered together. But there again what interests me is not works or minds, criticism of which would call for another form and another place, but the discovery of what their conclusions have in common. Never, perhaps, have minds been so different. And yet we recognize as identical the spiritual landscapes in which they get under way. Likewise, despite such dissimilar zones of knowledge, the cry that terminates their itinerary rings out in the same way. It is evident that the thinkers we have just recalled have a common climate. To say that that climate is deadly scarcely amounts to playing on words. Living under that stifling sky forces one to get away or to stay. The important thing is to find out how people get away in the first case and why people stay in the second case. This is how I define the problem of suicide and the possible interest in the conclusions of existential philosophy. But first I want to detour from the direct path. Up to now we have managed to circumscribe the absurd from the outside. One can, however, wonder how much is clear in that notion and by direct analysis try to discover its meaning on the one hand and, on the other, the consequences it involves. If I accuse an innocent man of a monstrous crime, if I tell a virtuous man that he has coveted his own sister, he will reply that this is absurd. His indignation has its comical aspect. But it also has its fundamental reason. The virtuous man illustrates by that reply the definitive antinomy existing between the deed I am attributing to him and his lifelong principles. “It’s absurd” means “It’s impossible” but also “It’s contradictory.”",absurdism
25,"If I see a man armed only with a sword attack a group of machine guns, I shall consider his act to be absurd. But it is so solely by virtue of the disproportion between his intention and the reality he will encounter, of the contradiction I notice between his true strength and the aim he has in view. Likewise we shall deem a verdict absurd when we contrast it with the verdict the facts apparently dictated. And, similarly, a demonstration by the absurd is achieved by comparing the consequences of such a reasoning with the logical reality one wants to set up. In all these cases, from the simplest to the most complex, the magnitude of the absurdity will be in direct ratio to the distance between the two terms of my comparison. There are absurd marriages, challenges, rancors, silences, wars, and even peace treaties. For each of them the absurdity springs from a comparison. I am thus justified in saying that the feeling of absurdity does not spring from the mere scrutiny of a fact or an impression, but that it bursts from the comparison between a bare fact and a certain reality, between an action and the world that transcends it. The absurd is essentially a divorce. It lies in neither of the elements compared; it is born of their confrontation. In this particular case and on the plane of intelligence, I can therefore say that the Absurd is not in man (if such a metaphor could have a meaning) nor in the world, but in their presence together. For the moment it is the only bond uniting them. If wish to limit myself to facts, I know what man wants, I know what the world offers him, and now I can say that I also know",absurdism
